via_column,gotb_column,datatype,description
ServiceDate,service_date,datetime64,
Routes,route,string,
Block,route_block,string,
RouteDirectionName,route_dir,string,
StopNumber,stop_id,string,
Location,stop_name,string,
Latitude,deg_lat,float,
Longitude,deg_lon,float,
ScheduledTime(S),sched_time_s,float,
ScheduledTime(HHMMSS),sched_time_hms,datetime64,
ArrivalTime(S),arr_time_s,float,
ArrivalTime(HHMMSS),arr_time_hms,datetime64,
DepartureTime(S),dep_time_s,float,
DepartureTime(HHMMSS),dep_time_hms,datetime64,
Odometer,odometer,float,
VehicleNumber,vehicle_id,string,
Route,route,string,
RouteName,route_name,string,
Class,route_class,string,
ServiceType,week_type,string,
ScheduledMiles,miles_sched,float,
AVLRevenueMiles,miles_revenue,float,
AVLDeadHeadMiles,miles_deadhead,float,
AVLExemptMiles,miles_exempt,float,
AVLMilesAdjustments,miles_adj,float,
dDate,device_date,datetime64,
Local_Timestamp,device_timestamp,datetime64,
MESSAGE_TYPE_TEXT,message_type,string,
ADHERENCE,adherence,string,
degLat,degLat,float,
degLong,degLong,float,
ServiceDateTime,service_date,datetime64,
CurrentRevenue,revenue_cur,float,
Ridership,ridership,int64,
TokenCount,count_token,int64,
TicketCount,count_ticket,int64,
PassCount,count_pass,int64,
BillCount,count_bill,int64,
UnclassifiedRevenue,revenue_unclass,float,
DumpCount,count_dump,int64,
EarlyDeparture,dep_early,int64,
OnTime,on_time,int64,
LateArrival,arr_late,int64,
Missing,missing,int64,
TimePointCount,time_point_count,int64,
OTP,on_time_perf,float,
AverageDwellTime,avg_dwell_time,float,
StreetNumber,street_number,string,
Street,street_name,string,
City,city,string,
State,state,string,
Zip,zip,string,
Stop_lat,stop_lat,float
Stop_lon,stop_lon,float